Region,Country,Item Type,Sales Channel,Order_Shipped,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue
Sub-Saharan Africa,Madagascar,Fruits,Offline,true,07/08/17,701816356,1910,9.33,6.92,17820.3
Europe,Netherlands,Office Supplies,Online,true,6/22/2010,944635236,7413,651.21,524.96,4827419.73
Europe,Greece,Vegetables,Online,true,2/17/2017,140635573,6046,154.06,90.93,931446.76
Middle East and North Africa,Egypt,Meat,Online,true,1/14/2011,972678697,6096,421.89,364.69,2571841.44
Sub-Saharan Africa,South Sudan,Fruits,Online,false,01/09/16,793938434,2880,9.33,6.92,26870.4
Europe,Kosovo,Baby Food,Online,false,7/18/2011,177901113,3747,255.28,159.42,956534.16
Asia,Brunei,Beverages,Online,false,3/16/2012,668365561,3077,47.45,31.79,146003.65
Australia and Oceania,Australia,Vegetables,Online,false,12/15/2010,729443109,7281,154.06,90.93,1121710.86
Sub-Saharan Africa,Cape Verde,Fruits,Offline,false,03/02/13,695557582,9800,9.33,6.92,91434
Sub-Saharan Africa,Malawi,Household,Offline,false,2/17/2010,521445310,6110,668.27,502.54,4083129.7
Asia,Philippines,Personal Care,Online,false,2/19/2013,232155120,8714,81.73,56.67,712195.22
Europe,Estonia,Beverages,Online,false,10/28/2011,373048341,2149,47.45,31.79,101970.05
Central America and the Caribbean,Trinidad and Tobago,Office Supplies,Offline,false,10/26/2015,659798800,7982,651.21,524.96,5197958.22
Asia,Mongolia,Household,Online,false,02/05/13,428392827,9812,668.27,502.54,6557065.24
Asia,Japan,Personal Care,Offline,false,8/25/2011,885129249,8269,81.73,56.67,675825.37
Sub-Saharan Africa,Niger,Meat,Online,false,12/04/12,156619393,6014,421.89,364.69,2537246.46
Middle East and North Africa,Egypt,Baby Food,Offline,false,09/08/15,939787089,2739,255.28,159.42,699211.92
Central America and the Caribbean,Saint Lucia,Vegetables,Online,false,03/01/12,151868665,168,154.06,90.93,25882.08
Middle East and North Africa,Qatar,Cereal,Offline,false,08/05/14,180412948,7055,205.7,117.11,1451213.5
Sub-Saharan Africa,Mali,Fruits,Offline,false,7/24/2013,333281266,4188,9.33,6.92,39074.04
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,false,1/26/2012,888647449,9383,437.2,263.33,4102247.6
Sub-Saharan Africa,Swaziland,Clothes,Offline,false,03/10/14,844997823,2488,109.28,35.84,271888.64
Asia,Mongolia,Fruits,Online,false,09/12/13,171131217,385,9.33,6.92,3592.05
Sub-Saharan Africa,Botswana,Office Supplies,Online,false,01/05/13,256158959,1983,651.21,524.96,1291349.43
Europe,San Marino,Cosmetics,Online,false,10/28/2011,759504878,3226,437.2,263.33,1410407.2
Middle East and North Africa,Oman,Fruits,Online,false,11/21/2010,960905301,2087,9.33,6.92,19471.71
Asia,Bangladesh,Office Supplies,Offline,false,10/28/2015,210409057,3570,651.21,524.96,2324819.7
Sub-Saharan Africa,Namibia,Cosmetics,Offline,false,7/29/2010,178377473,4713,437.2,263.33,2060523.6
Asia,Mongolia,Fruits,Online,false,3/30/2014,805484378,9582,9.33,6.92,89400.06
Asia,North Korea,Beverages,Online,false,9/14/2016,752716100,4276,47.45,31.79,202896.2
Europe,Latvia,Clothes,Online,false,09/06/12,551371467,1925,109.28,35.84,210364
Sub-Saharan Africa,Burundi,Snacks,Offline,true,02/08/13,353061807,7689,152.58,97.44,1173187.62
Sub-Saharan Africa,Seychelles ,Personal Care,Online,true,1/17/2011,379710948,3762,81.73,56.67,307468.26
Sub-Saharan Africa,Kenya,Cereal,Online,true,10/11/15,473555219,4368,205.7,117.11,898497.6
Sub-Saharan Africa,Benin,Office Supplies,Online,true,2/21/2011,547143447,760,651.21,524.96,494919.6
Central America and the Caribbean,Saint Lucia,Personal Care,Online,true,4/29/2012,133336961,6225,81.73,56.67,508769.25
Middle East and North Africa,Qatar,Meat,Online,true,8/30/2016,635309588,1080,421.89,364.69,455641.2
Sub-Saharan Africa,Mozambique,Beverages,Online,true,12/20/2014,376547658,7675,47.45,31.79,364178.75
Middle East and North Africa,Pakistan,Clothes,Offline,false,6/28/2010,450849997,5388,109.28,35.84,588800.64
Asia,Taiwan,Personal Care,Online,true,02/06/15,672327935,5631,81.73,56.67,460221.63
Central America and the Caribbean,Cuba,Cereal,Offline,true,3/30/2015,925405299,6847,205.7,117.11,1408427.9
Central America and the Caribbean,Cuba,Household,Offline,true,7/28/2013,714818418,9509,668.27,502.54,6354579.43
Europe,Russia,Beverages,Offline,true,01/06/10,515616118,1122,47.45,31.79,53238.9
Europe,Switzerland,Cereal,Offline,true,2/20/2013,423159730,1222,205.7,117.11,251365.4
Europe,Czech Republic,Personal Care,Offline,true,8/25/2013,603123080,6377,81.73,56.67,521192.21
Europe,Poland,Meat,Offline,true,11/16/2010,841492497,5185,421.89,364.69,2187499.65
Sub-Saharan Africa,Mauritius ,Cereal,Offline,false,08/02/16,994566810,3275,205.7,117.11,673667.5
Middle East and North Africa,Pakistan,Vegetables,Offline,false,4/25/2013,538957345,8310,154.06,90.93,1280238.6
Sub-Saharan Africa,South Africa,Fruits,Offline,false,03/02/11,821587932,4981,9.33,6.92,46472.73
Sub-Saharan Africa,Seychelles ,Household,Online,false,9/28/2013,109694898,13,668.27,502.54,8687.51
Sub-Saharan Africa,Benin,Meat,Offline,false,05/05/14,340827071,7159,421.89,364.69,3020310.51
Sub-Saharan Africa,Benin,Meat,Offline,false,11/28/2014,372845780,2207,421.89,364.69,931111.23
Central America and the Caribbean,Nicaragua,Fruits,Online,false,8/30/2014,933924853,7973,9.33,6.92,74388.09
Middle East and North Africa,Lebanon,Office Supplies,Online,false,11/20/2013,572550618,9306,651.21,524.96,6060160.26
Europe,Moldova ,Meat,Online,false,2/23/2010,607521903,8086,421.89,364.69,3411402.54
Middle East and North Africa,Tunisia ,Snacks,Online,false,3/20/2017,177950036,8225,152.58,97.44,1254970.5
Australia and Oceania,Vanuatu,Beverages,Offline,false,11/08/15,293258845,664,47.45,31.79,31506.8
Sub-Saharan Africa,South Sudan,Beverages,Online,false,08/09/10,683184659,8377,47.45,31.79,397488.65
Europe,Sweden,Cereal,Online,false,11/12/10,247776305,1370,205.7,117.11,281809
Europe,Ireland,Meat,Offline,false,12/14/2011,207395112,1677,421.89,364.69,707509.53
Europe,Italy,Vegetables,Offline,false,01/10/14,952714908,8367,154.06,90.93,1289020.02
Europe,Bosnia and Herzegovina,Vegetables,Online,false,10/03/10,694722020,2539,154.06,90.93,391158.34
Europe,Bosnia and Herzegovina,Household,Online,false,10/15/2015,414715278,2321,668.27,502.54,1551054.67
Europe,Poland,Snacks,Offline,false,7/20/2013,714306008,7876,152.58,97.44,1201720.08
Middle East and North Africa,Kuwait,Snacks,Online,false,1/19/2016,465418040,6396,152.58,97.44,975901.68
Sub-Saharan Africa,Sudan,Cereal,Online,false,8/17/2013,860287702,7103,205.7,117.11,1461087.1
Middle East and North Africa,Saudi Arabia,Vegetables,Online,false,8/16/2016,461463820,6254,154.06,90.93,963491.24
Sub-Saharan Africa,Swaziland,Baby Food,Offline,false,9/25/2013,151807725,2134,255.28,159.42,544767.52
Sub-Saharan Africa,Rwanda,Meat,Offline,false,8/21/2013,884493243,61,421.89,364.69,25735.29
Asia,Cambodia,Cosmetics,Offline,false,12/10/10,533006703,7383,437.2,263.33,3227847.6
Sub-Saharan Africa,Central African Republic,Vegetables,Online,false,09/04/12,641146934,8480,154.06,90.93,1306428.8
Asia,Maldives,Cosmetics,Offline,false,10/15/2011,573025262,9764,437.2,263.33,4268820.8
Sub-Saharan Africa,Djibouti,Household,Offline,false,8/26/2013,663065516,4676,668.27,502.54,3124830.52
Asia,Tajikistan,Beverages,Online,true,2/17/2017,866004025,8691,47.45,31.79,412387.95
Asia,Sri Lanka,Baby Food,Online,true,10/19/2010,306889617,4312,255.28,159.42,1100767.36
Europe,Montenegro,Personal Care,Online,true,7/30/2014,431083619,6077,81.73,56.67,496673.21
Middle East and North Africa,United Arab Emirates,Personal Care,Online,true,5/21/2015,954259860,5553,81.73,56.67,453846.69
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,true,05/05/16,312404668,6338,81.73,56.67,518004.74
Sub-Saharan Africa,Seychelles ,Office Supplies,Offline,true,4/14/2010,611816871,9063,651.21,524.96,5901916.23
Europe,Iceland,Office Supplies,Online,true,10/26/2013,879107797,6388,651.21,524.96,4159929.48
Sub-Saharan Africa,Nigeria,Vegetables,Offline,false,7/21/2010,211201274,8005,154.06,90.93,1233250.3
Sub-Saharan Africa,Rwanda,Fruits,Online,true,06/09/15,925333631,5639,9.33,6.92,52611.87
Europe,Hungary,Snacks,Offline,true,06/03/10,909053695,8044,152.58,97.44,1227353.52
Europe,Belarus,Baby Food,Online,true,5/17/2016,370222795,6007,255.28,159.42,1533466.96
Sub-Saharan Africa,South Sudan,Cosmetics,Offline,true,08/03/13,487014758,7344,437.2,263.33,3210796.8
Europe,Andorra,Vegetables,Online,true,9/15/2013,257915914,1905,154.06,90.93,293484.3
Asia,Japan,Meat,Offline,true,07/02/10,551725089,6569,421.89,364.69,2771395.41
Central America and the Caribbean,El Salvador,Meat,Offline,true,12/18/2013,957553613,248,421.89,364.69,104628.72
Sub-Saharan Africa,Kenya,Office Supplies,Offline,false,3/19/2016,234825313,8883,651.21,524.96,5784698.43
Europe,Bosnia and Herzegovina,Snacks,Online,false,06/09/10,363276517,449,152.58,97.44,68508.42
Europe,Andorra,Personal Care,Online,false,5/21/2017,692956054,9950,81.73,56.67,813213.5
Sub-Saharan Africa,Cape Verde,Cosmetics,Online,false,06/12/13,194225251,4423,437.2,263.33,1933735.6
Australia and Oceania,Nauru,Fruits,Online,false,2/22/2010,607757937,7934,9.33,6.92,74024.22
Europe,Czech Republic,Cereal,Offline,false,6/29/2012,594540441,6583,205.7,117.11,1354123.1
Europe,Serbia,Vegetables,Online,false,3/23/2015,685871589,3500,154.06,90.93,539210
Australia and Oceania,Tuvalu,Cereal,Offline,false,02/12/14,133362710,3844,205.7,117.11,790710.8
Sub-Saharan Africa,Madagascar,Clothes,Offline,false,5/22/2017,958937633,9810,109.28,35.84,1072036.8
Sub-Saharan Africa,Ethiopia,Vegetables,Online,false,08/06/11,304832684,5620,154.06,90.93,865817.2
Asia,Malaysia,Baby Food,Offline,false,11/14/2010,783596694,2530,255.28,159.42,645858.4
Sub-Saharan Africa,Tanzania,Household,Offline,false,04/05/15,128090989,3825,668.27,502.54,2556132.75
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Offline,false,07/08/14,641489398,9823,154.06,90.93,1513331.38
Australia and Oceania,Solomon Islands,Clothes,Offline,false,08/09/14,647278249,2873,109.28,35.84,313961.44
Europe,Netherlands,Clothes,Online,false,3/13/2011,339256370,2354,109.28,35.84,257245.12
Sub-Saharan Africa,Mali,Baby Food,Offline,false,03/02/16,431535089,9677,255.28,159.42,2470344.56
Middle East and North Africa,Afghanistan,Cereal,Offline,false,12/19/2015,808538234,3286,205.7,117.11,675930.2
Europe,Moldova ,Personal Care,Online,false,3/28/2013,975002133,3653,81.73,56.67,298559.69
Asia,Bhutan,Snacks,Online,false,6/27/2015,505975615,8283,152.58,97.44,1263820.14
Asia,Vietnam,Vegetables,Offline,false,2/18/2016,396820008,6714,154.06,90.93,1034358.84
Europe,Portugal,Vegetables,Online,false,6/14/2013,813209140,5511,154.06,90.93,849024.66
Europe,Spain,Baby Food,Online,false,05/10/14,641129338,3273,255.28,159.42,835531.44
Middle East and North Africa,Egypt,Meat,Offline,false,6/17/2015,636879432,5632,421.89,364.69,2376084.48
Europe,Belgium,Snacks,Online,false,06/11/14,277070748,246,152.58,97.44,37534.68
Asia,Malaysia,Cosmetics,Offline,false,11/03/13,908627116,1810,437.2,263.33,791332
Central America and the Caribbean,Dominican Republic,Cosmetics,Offline,false,04/02/17,798784863,7047,437.2,263.33,3080948.4
Europe,Estonia,Beverages,Offline,false,5/28/2010,985092818,9711,47.45,31.79,460786.95
Sub-Saharan Africa,Burundi,Snacks,Offline,true,5/22/2010,325412309,5588,152.58,97.44,852617.04
Europe,Latvia,Beverages,Online,true,06/02/16,447917163,7497,47.45,31.79,355732.65
Asia,Tajikistan,Meat,Offline,true,8/22/2013,801093709,285,421.89,364.69,120238.65
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,true,10/05/14,903740775,5833,9.33,6.92,54421.89
Sub-Saharan Africa,Comoros,Meat,Offline,true,10/31/2010,794969689,8052,421.89,364.69,3397058.28
Sub-Saharan Africa,Namibia,Clothes,Online,true,11/27/2012,584204280,7884,109.28,35.84,861563.52
Europe,Slovenia,Cereal,Offline,true,5/22/2010,901180875,8302,205.7,117.11,1707721.4
Europe,Bulgaria,Snacks,Offline,true,8/31/2012,645948302,9312,152.58,97.44,1420824.96
Sub-Saharan Africa,Guinea-Bissau,Cereal,Online,true,1/23/2015,138867890,2950,205.7,117.11,606815
Sub-Saharan Africa,Lesotho,Beverages,Offline,true,03/02/10,670613467,8282,47.45,31.79,392980.9
Asia,Sri Lanka,Cosmetics,Offline,true,05/09/14,452171361,6409,437.2,263.33,2802014.8
Australia and Oceania,East Timor,Snacks,Online,true,12/28/2010,464840400,5459,152.58,97.44,832934.22
Europe,Belarus,Household,Online,true,10/19/2014,410231912,5594,668.27,502.54,3738302.38
Sub-Saharan Africa,Benin,Meat,Offline,true,1/21/2015,960269725,4006,421.89,364.69,1690091.34
Europe,Ireland,Beverages,Offline,true,04/04/17,607190167,9919,47.45,31.79,470656.55
Middle East and North Africa,Iran,Meat,Offline,true,08/05/16,613542068,9587,421.89,364.69,4044659.43
Sub-Saharan Africa,Benin,Household,Offline,true,11/26/2016,962186753,1297,668.27,502.54,866746.19
Sub-Saharan Africa,South Sudan,Beverages,Online,true,9/23/2011,806298053,366,47.45,31.79,17366.7
Sub-Saharan Africa,Comoros,Personal Care,Online,true,10/24/2010,719362294,4144,81.73,56.67,338689.12
Europe,Poland,Baby Food,Online,true,8/14/2013,445178306,7008,255.28,159.42,1789002.24
Europe,Bosnia and Herzegovina,Cosmetics,Offline,true,02/04/13,247857415,5372,437.2,263.33,2348638.4
Sub-Saharan Africa,Namibia,Vegetables,Offline,true,08/11/14,461823451,2677,154.06,90.93,412418.62
Europe,Spain,Office Supplies,Offline,true,01/12/17,141812741,4396,651.21,524.96,2862719.16
Middle East and North Africa,Iran,Meat,Online,true,07/03/16,212874114,3036,421.89,364.69,1280858.04
Central America and the Caribbean,Guatemala,Office Supplies,Offline,true,3/27/2010,320368897,3131,651.21,524.96,2038938.51
Australia and Oceania,East Timor,Beverages,Online,true,06/05/15,179970920,6249,47.45,31.79,296515.05
Middle East and North Africa,Bahrain,Household,Online,true,6/27/2012,927666509,5990,668.27,502.54,4002937.3
Sub-Saharan Africa,Ethiopia,Office Supplies,Online,true,12/19/2016,169754493,2982,651.21,524.96,1941908.22
Australia and Oceania,Solomon Islands,Personal Care,Offline,true,03/09/15,532846200,9886,81.73,56.67,807982.78
Central America and the Caribbean,Belize,Snacks,Online,true,6/18/2013,213865458,6397,152.58,97.44,976054.26
Asia,Sri Lanka,Office Supplies,Online,true,08/12/11,630048596,4236,651.21,524.96,2758525.56
Central America and the Caribbean,Costa Rica,Clothes,Offline,true,4/17/2014,568944442,2158,109.28,35.84,235826.24
Sub-Saharan Africa,Nigeria,Baby Food,Online,true,02/03/12,238414323,951,255.28,159.42,242771.28
Middle East and North Africa,Iran,Office Supplies,Online,true,08/01/15,816632068,8431,651.21,524.96,5490351.51
Sub-Saharan Africa,Djibouti,Baby Food,Online,true,09/11/13,402084004,4447,255.28,159.42,1135230.16
Asia,South Korea,Snacks,Online,true,05/08/15,763568961,5879,152.58,97.44,897017.82
Central America and the Caribbean,Dominica,Snacks,Offline,false,5/22/2015,590198266,1637,152.58,97.44,249773.46
Asia,Vietnam,Snacks,Online,true,07/03/13,441395747,7665,152.58,97.44,1169525.7
Europe,Norway,Personal Care,Offline,true,6/16/2010,496897733,1936,81.73,56.67,158229.28
Central America and the Caribbean,Haiti,Beverages,Online,true,11/08/11,106753051,9455,47.45,31.79,448639.75
Central America and the Caribbean,Jamaica,Fruits,Offline,true,10/17/2016,941323029,7258,9.33,6.92,67717.14
Sub-Saharan Africa,Sudan,Vegetables,Offline,true,02/02/14,241281497,9412,154.06,90.93,1450012.72
Sub-Saharan Africa,Angola,Meat,Offline,true,4/30/2016,267614781,2016,421.89,364.69,850530.24
Central America and the Caribbean,Panama,Cosmetics,Offline,true,8/31/2010,651621711,8200,437.2,263.33,3585040
Europe,Greece,Personal Care,Online,false,08/08/15,644913613,3124,81.73,56.67,255324.52
Sub-Saharan Africa,Madagascar,Cereal,Offline,false,8/18/2016,469414317,8983,205.7,117.11,1847803.1
Sub-Saharan Africa,Guinea-Bissau,Clothes,Online,false,6/18/2015,867360150,9998,109.28,35.84,1092581.44
North America,Greenland,Clothes,Online,false,1/28/2011,851299941,7425,109.28,35.84,811404
Middle East and North Africa,Libya,Beverages,Offline,false,02/04/11,854095017,4550,47.45,31.79,215897.5
Europe,Belarus,Vegetables,Offline,false,11/03/12,478919208,1691,154.06,90.93,260515.46
Middle East and North Africa,Lebanon,Clothes,Offline,false,9/18/2014,749258840,1196,109.28,35.84,130698.88
Sub-Saharan Africa,Djibouti,Baby Food,Offline,false,5/17/2012,958912742,2444,255.28,159.42,623904.32
Central America and the Caribbean,Barbados,Personal Care,Online,false,2/20/2010,921992242,6848,81.73,56.67,559687.04
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,false,2/28/2017,522921168,2849,154.06,90.93,438916.94
Europe,Finland,Personal Care,Offline,false,5/17/2013,166435849,921,81.73,56.67,75273.33
Central America and the Caribbean,Haiti,Baby Food,Offline,false,11/09/13,327585113,8569,255.28,159.42,2187494.32
Sub-Saharan Africa,Niger,Clothes,Offline,false,01/10/12,201730287,5330,109.28,35.84,582462.4
Central America and the Caribbean,Trinidad and Tobago,Fruits,Offline,false,9/24/2013,854545199,7769,9.33,6.92,72484.77
Central America and the Caribbean,Grenada,Personal Care,Online,false,9/26/2010,272016179,4487,81.73,56.67,366722.51
Central America and the Caribbean,Dominican Republic,Cereal,Offline,false,10/21/2014,110442054,1113,205.7,117.11,228944.1
Europe,Monaco,Household,Offline,false,1/17/2016,746434152,5308,668.27,502.54,3547177.16
Europe,Estonia,Vegetables,Online,false,12/27/2016,826916301,1764,154.06,90.93,271761.84
Europe,Italy,Beverages,Offline,false,8/30/2013,419124829,7206,47.45,31.79,341924.7
Asia,Malaysia,Office Supplies,Online,false,07/07/14,560608565,5387,651.21,524.96,3508068.27
Sub-Saharan Africa,Ghana,Office Supplies,Offline,false,11/29/2013,109228837,2095,651.21,524.96,1364284.95
Middle East and North Africa,Pakistan,Clothes,Offline,false,1/29/2011,693159472,146,109.28,35.84,15954.88
Asia,Sri Lanka,Snacks,Offline,false,11/13/2013,860886800,4390,152.58,97.44,669826.2
Europe,Romania,Fruits,Offline,false,04/09/12,131209647,6705,9.33,6.92,62557.65
Middle East and North Africa,Qatar,Office Supplies,Online,false,6/28/2012,343239343,1004,651.21,524.96,653814.84
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,false,06/08/10,706399714,8228,109.28,35.84,899155.84
Middle East and North Africa,Egypt,Office Supplies,Online,false,8/23/2010,950427091,1352,651.21,524.96,880435.92
Middle East and North Africa,Iran,Snacks,Offline,true,12/11/14,875370299,379,152.58,97.44,57827.82
Middle East and North Africa,Somalia,Clothes,Online,true,1/27/2011,801590669,7347,109.28,35.84,802880.16
Middle East and North Africa,Syria,Personal Care,Offline,true,05/07/14,219762027,1322,81.73,56.67,108047.06
Australia and Oceania,Solomon Islands,Cereal,Offline,true,11/08/10,940870702,3404,205.7,117.11,700202.8
Central America and the Caribbean,Guatemala,Fruits,Online,true,3/30/2014,346215522,1721,9.33,6.92,16056.93
Middle East and North Africa,Kuwait,Clothes,Offline,true,07/09/16,837407815,6436,109.28,35.84,703326.08
Middle East and North Africa,Jordan,Meat,Online,true,7/15/2014,386371409,4741,421.89,364.69,2000180.49
Australia and Oceania,Marshall Islands,Beverages,Offline,false,10/14/2013,185342633,5859,47.45,31.79,278009.55
Middle East and North Africa,Egypt,Snacks,Offline,true,1/13/2017,596870315,6045,152.58,97.44,922346.1
Europe,Switzerland,Meat,Online,true,12/22/2012,703815782,3585,421.89,364.69,1512475.65
Australia and Oceania,Samoa ,Personal Care,Online,true,4/16/2010,559352862,3797,81.73,56.67,310328.81
Europe,Portugal,Cosmetics,Offline,true,2/27/2011,736967885,4029,437.2,263.33,1761478.8
Europe,Albania,Clothes,Offline,true,1/14/2015,980459678,8661,109.28,35.84,946474.08
Central America and the Caribbean,Dominica,Vegetables,Offline,true,11/16/2014,653939568,4105,154.06,90.93,632416.3
Australia and Oceania,Tuvalu,Cosmetics,Online,true,1/17/2016,991831386,3803,437.2,263.33,1662671.6
Australia and Oceania,Marshall Islands,Cereal,Online,false,5/29/2017,148871457,3227,205.7,117.11,663793.9
Europe,Bulgaria,Fruits,Online,false,02/10/15,850108611,4884,9.33,6.92,45567.72
Sub-Saharan Africa,Niger,Office Supplies,Offline,false,12/08/13,940904176,3309,651.21,524.96,2154853.89
Central America and the Caribbean,Saint Vincent and the Grenadines,Office Supplies,Offline,false,12/10/15,136931979,70,651.21,524.96,45584.7
Sub-Saharan Africa,Malawi,Beverages,Offline,false,09/04/16,474178349,8766,47.45,31.79,415946.7
Sub-Saharan Africa,Cape Verde,Personal Care,Offline,false,7/19/2016,458942115,25,81.73,56.67,2043.25
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Offline,false,01/09/17,917834603,6510,47.45,31.79,308899.5
Europe,Greece,Personal Care,Offline,false,11/05/16,947779643,7913,81.73,56.67,646729.49
Europe,Monaco,Clothes,Online,false,10/31/2015,166013562,5957,109.28,35.84,650980.96
Sub-Saharan Africa,Nigeria,Beverages,Online,false,1/25/2011,960085189,9397,47.45,31.79,445887.65
Europe,Norway,Cosmetics,Offline,false,11/08/15,837855851,9020,437.2,263.33,3943544
North America,Greenland,Snacks,Offline,false,6/24/2010,977499377,2643,152.58,97.44,403268.94
Middle East and North Africa,Tunisia ,Beverages,Online,false,2/27/2014,377502095,114,47.45,31.79,5409.3
Asia,Uzbekistan,Meat,Offline,false,02/05/13,806662833,8313,421.89,364.69,3507171.57
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,false,4/15/2017,954092919,6152,154.06,90.93,947777.12
Central America and the Caribbean,Belize,Meat,Online,false,04/09/11,479216182,9572,421.89,364.69,4038331.08
Sub-Saharan Africa,Angola,Personal Care,Online,false,12/13/2010,461768949,6548,81.73,56.67,535168.04
Asia,Bhutan,Meat,Online,false,5/13/2014,251800048,2085,421.89,364.69,879640.65
Central America and the Caribbean,Honduras,Personal Care,Offline,false,1/16/2013,619670808,3217,81.73,56.67,262925.41
Sub-Saharan Africa,South Sudan,Household,Offline,false,12/09/10,606055057,4014,668.27,502.54,2682435.78
Asia,Kyrgyzstan,Baby Food,Online,false,1/24/2013,671939122,573,255.28,159.42,146275.44
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Offline,false,2/25/2014,448621833,6025,437.2,263.33,2634130
Sub-Saharan Africa,Madagascar,Fruits,Online,false,7/23/2017,987714517,5530,9.33,6.92,51594.9
Sub-Saharan Africa,Senegal,Household,Online,false,05/07/16,711141002,1280,668.27,502.54,855385.6
Sub-Saharan Africa,Sierra Leone,Office Supplies,Online,false,3/24/2012,361137616,7501,651.21,524.96,4884726.21
Asia,Malaysia,Household,Offline,false,10/03/11,750253188,5446,668.27,502.54,3639398.42
Central America and the Caribbean,Cuba,Office Supplies,Online,false,12/22/2014,511349046,8401,651.21,524.96,5470815.21
Sub-Saharan Africa,Zimbabwe,Personal Care,Offline,true,8/23/2011,147599017,6684,81.73,56.67,546283.32
Europe,Serbia,Beverages,Online,true,4/18/2015,682489430,2644,47.45,31.79,125457.8
Asia,Maldives,Vegetables,Offline,true,01/11/14,509819114,5660,154.06,90.93,871979.6
Europe,Ireland,Office Supplies,Offline,true,2/27/2012,343699395,7144,651.21,524.96,4652244.24
Europe,Romania,Clothes,Offline,true,04/04/11,968554103,5537,109.28,35.84,605083.36
Europe,Croatia,Beverages,Online,true,12/26/2013,989119565,1315,47.45,31.79,62396.75
Europe,Albania,Vegetables,Offline,true,09/12/12,880444610,1980,154.06,90.93,305038.8
Central America and the Caribbean,Dominican Republic,Vegetables,Offline,false,12/19/2015,737890565,7071,154.06,90.93,1089358.26
Sub-Saharan Africa,Zimbabwe,Vegetables,Online,true,6/26/2014,727131259,3153,154.06,90.93,485751.18
Sub-Saharan Africa,Ghana,Office Supplies,Offline,true,03/02/15,634153020,8826,651.21,524.96,5747579.46
Asia,Laos,Beverages,Online,true,8/17/2014,315254676,9719,47.45,31.79,461166.55
Central America and the Caribbean,Panama,Personal Care,Offline,true,7/19/2010,147047555,3494,81.73,56.67,285564.62
Sub-Saharan Africa,Angola,Household,Online,true,1/14/2013,576455485,4843,668.27,502.54,3236431.61
Middle East and North Africa,Syria,Snacks,Offline,true,7/19/2010,770714795,490,152.58,97.44,74764.2
Sub-Saharan Africa,Sierra Leone,Cosmetics,Offline,true,07/11/11,867374312,4189,437.2,263.33,1831430.8
Sub-Saharan Africa,Uganda,Fruits,Online,false,05/04/10,624295365,1727,9.33,6.92,16112.91
Asia,Taiwan,Clothes,Offline,false,10/13/2013,769651782,5921,109.28,35.84,647046.88
Middle East and North Africa,Azerbaijan,Vegetables,Online,false,7/27/2014,751929891,1619,154.06,90.93,249423.14
Asia,Maldives,Office Supplies,Online,false,04/04/10,989928519,702,651.21,524.96,457149.42
Sub-Saharan Africa,Mauritania,Meat,Offline,false,8/17/2014,622758996,7081,421.89,364.69,2987403.09
Sub-Saharan Africa,Burundi,Baby Food,Online,false,01/04/16,659845149,1698,255.28,159.42,433465.44
Sub-Saharan Africa,Zambia,Baby Food,Offline,false,5/17/2011,830923306,7526,255.28,159.42,1921237.28
Asia,Singapore,Beverages,Offline,false,02/12/10,936042296,4571,47.45,31.79,216893.95
Sub-Saharan Africa,Ghana,Household,Online,false,2/17/2015,395563447,4869,668.27,502.54,3253806.63
Sub-Saharan Africa,Guinea,Meat,Offline,false,06/07/11,500160586,7487,421.89,364.69,3158690.43
Sub-Saharan Africa,Zambia,Fruits,Online,false,5/26/2015,360820043,3524,9.33,6.92,32878.92
Europe,Georgia,Snacks,Online,false,5/24/2010,958840644,1109,152.58,97.44,169211.22
Middle East and North Africa,Bahrain,Baby Food,Online,false,2/21/2011,195833718,404,255.28,159.42,103133.12
Sub-Saharan Africa,Lesotho,Personal Care,Offline,false,6/28/2014,543723094,8601,81.73,56.67,702959.73
Central America and the Caribbean,Barbados,Cosmetics,Offline,false,10/15/2010,494745099,4924,437.2,263.33,2152772.8
Middle East and North Africa,Saudi Arabia,Vegetables,Online,false,5/18/2010,411448562,5628,154.06,90.93,867049.68
Europe,Macedonia,Personal Care,Offline,false,02/02/17,276694810,8998,81.73,56.67,735406.54
Asia,Turkmenistan,Office Supplies,Offline,false,11/24/2016,143657672,352,651.21,524.96,229225.92
Europe,Albania,Baby Food,Online,false,12/23/2011,585823476,7040,255.28,159.42,1797171.2
Middle East and North Africa,Afghanistan,Clothes,Online,false,12/05/16,446991050,3440,109.28,35.84,375923.2
Australia and Oceania,Kiribati,Clothes,Offline,false,2/16/2017,891271722,5963,109.28,35.84,651636.64
Middle East and North Africa,Morocco,Cosmetics,Online,false,5/18/2010,453089320,8053,437.2,263.33,3520771.6
Europe,Norway,Baby Food,Offline,false,09/07/10,887180173,5183,255.28,159.42,1323116.24
Europe,Sweden,Cosmetics,Online,false,03/12/14,418593108,9858,437.2,263.33,4309917.6
